length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolon,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,label
37.76239763906159,16.59451092344692,0,2,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0.08803049874792027,0.012203823484477884,0,0,0,0,0
64.1772719000951,5.201649380601122,0,7,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.06617960497052984,0.006355835028602364,0,0,0,0,0
78.48680493938072,24.241962549718146,0,7,2,2,2,1,0,5,4,0,1,4,0,1,1,1,0,2,1,1,1,0,0,0.3724797657899962,0.14791237813339447,0,0,1,0,1
44.493277880861115,18.865704279446245,0,4,1,0,0,2,0,0,1,0,0,2,0,4,0,0,0,0,3,0,4,0,0,0.17971083770541585,0.060642905965959,0,0,0,0,0
97.31549022289514,17.36916460455894,0,2,0,0,1,2,0,0,0,1,1,4,0,1,0,0,1,1,0,4,0,0,0,0.06338440103125553,0.016949274668609248,0,0,0,0,0
61.16417436892,9.285148510846884,0,4,4,0,1,3,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0.19517041589250694,0.051630034830119534,0,0,0,0,0
70.09974557960915,19.328775970850607,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.1231700196104433,0.06350936508676439,0,0,0,0,0
80.73965395808196,29.62103474263271,0,9,4,0,0,2,0,1,2,3,2,12,3,2,1,0,3,0,0,3,1,0,0,0.2648586646971207,0.1883061002746754,0,0,0,0,1
87.11118417734275,27.436872114919122,0,5,8,2,1,1,1,0,0,2,2,3,1,3,2,2,1,1,0,4,0,0,0,0.27509683355526166,0.11554692739299698,1,1,0,0,1
71.42695020653576,19.852619100066054,0,8,0,0,2,1,1,1,0,0,0,9,0,2,0,0,0,0,1,2,1,0,0,0.026803045690128147,0.0028782676313338974,0,0,0,0,0
25.382537924688656,22.221693959909054,0,5,2,1,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.017740506751411124,0.012063587110060081,0,0,0,0,0
46.005489840148286,16.06989955367111,0,2,2,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.13582046382889792,0.07891712386073384,0,0,0,0,0
78.51015382694175,23.096613219163917,0,8,3,0,1,3,2,2,4,1,2,5,1,1,0,0,1,1,2,2,3,1,1,0.15436991984969806,0.11329925347335551,0,0,0,0,1
100.49575103710026,20.67441812180379,0,12,6,2,1,4,0,2,3,1,1,8,0,3,1,1,1,1,3,2,1,0,0,0.38031010443070445,0.28511370258135527,0,0,1,0,1
110.77382203474973,17.61976333553897,0,1,1,0,0,2,0,1,0,0,0,2,1,2,0,0,1,0,0,2,0,0,0,0.17961085788814277,0.020513964048200717,0,0,0,0,0
54.900455651582895,22.519964942913443,0,3,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0.16604397291339834,0.039718352961845484,0,0,0,0,0
26.604416558631996,23.823434671313592,0,3,1,0,0,1,0,2,1,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0.11083560050315869,0.06514203883518642,0,0,0,0,0
130.24118937255503,34.82690983945514,0,7,4,0,2,5,0,2,2,1,0,9,0,2,2,2,2,1,1,2,2,0,1,0.11018379357573965,0.239484053449368,0,1,1,0,1
60.56636752260923,15.148780697478726,0,1,1,0,0,1,0,0,0,0,0,4,0,1,0,0,1,1,1,1,3,0,0,0.04775542915366047,0.011047411313139466,0,0,0,0,0
21.326433977848794,8.963020841768127,0,3,1,1,1,1,1,1,0,0,0,3,1,3,0,0,0,0,0,0,1,0,0,0.17549217252607607,0.026560004258870607,0,0,0,0,0
146.3417709069132,45.102045387663495,0,6,5,1,2,10,0,2,1,0,1,3,0,5,1,3,2,2,0,1,1,0,0,0.3614610418457129,0.29469779383547934,1,0,0,0,1
91.31048058468681,14.67124869463506,0,4,0,0,1,0,0,1,1,0,1,4,0,1,0,0,0,0,2,4,1,0,0,0.12333006290414761,0.07965372909761764,0,0,0,0,0
59.196840987113134,7.8461244894097595,0,3,1,0,0,1,0,1,1,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0.16011733982181658,0.020015024424481012,0,0,0,0,0
96.23960248269742,16.789628643458844,0,4,3,0,0,1,0,0,0,0,0,3,0,3,2,0,0,0,0,0,2,0,0,0.06918699850939258,0.03710387629846027,0,0,0,0,0
57.892161491253475,23.904146064833213,0,5,2,0,2,0,1,1,0,0,0,3,0,3,0,0,1,0,0,0,1,0,0,0.04974285451752598,0.06171449866040301,0,0,0,0,0
